,Unnamed: 0,host_listings_count,accommodates,bathrooms,bedrooms,guests_included,minimum_nights,number_of_reviews,calculated_host_listings_count,price,latitude,longitude,room_type,instant_bookable,pricen
7585,3161,2.0,2,1.0,1.0,1,2,0,2,$200.00,52.371770525600006,4.8866831668,Entire home/apt,t,200.0
7586,3162,1.0,2,1.0,1.0,1,3,5,1,$150.00,52.3822876048,4.881901668999999,Entire home/apt,f,150.0
7587,3163,1.0,2,1.0,1.0,1,13,38,1,$135.00,52.373131510600004,4.8809452237,Entire home/apt,f,135.0
7588,3164,1.0,2,2.0,1.0,1,1,30,1,$125.00,52.372997466,4.8945562713,Private room,f,125.0
7589,3165,1.0,2,1.0,1.0,1,2,3,1,$120.00,52.3708902861,4.8875651696,Private room,f,120.0
7590,3166,1.0,3,1.0,2.0,1,3,27,1,$150.00,52.3736259675,4.8760515749,Entire home/apt,f,150.0
7591,3167,1.0,2,1.5,1.0,2,2,5,1,$199.00,52.3730212079,4.8758000175,Entire home/apt,f,199.0
7592,3168,1.0,4,1.0,1.0,1,1,0,1,$41.00,52.3788504295,4.901433399,Shared room,f,41.0
7593,3169,1.0,2,1.0,1.0,1,2,129,1,$105.00,52.3838577059,4.8855848743,Private room,f,105.0
7594,317,1.0,2,1.5,1.0,1,2,117,1,$70.00,52.4096921638,4.9452372906,Private room,f,70.0
7595,3170,3.0,2,1.0,1.0,2,3,1,1,$250.00,52.3735784566,4.8763132025,Entire home/apt,f,250.0
7596,3171,1.0,2,1.0,1.0,2,3,5,1,$100.00,52.3812672066,4.8822522968,Entire home/apt,f,100.0
7597,3172,3.0,2,1.0,1.0,1,2,61,3,$125.00,52.3778878975,4.884028360199999,Entire home/apt,f,125.0
7598,3173,1.0,2,1.0,0.0,1,1,7,1,$105.00,52.374518369700006,4.8905152629,Private room,f,105.0
7599,3174,2.0,4,2.0,2.0,1,2,100,1,$220.00,52.376182426999996,4.890580497,Entire home/apt,f,220.0
7600,3175,1.0,4,1.0,2.0,2,2,7,1,$200.00,52.3806772183,4.8865892851,Entire home/apt,f,200.0
7601,3176,1.0,2,1.0,1.0,2,3,1,1,$185.00,52.3701867271,4.8823459453,Entire home/apt,t,185.0
7602,3177,1.0,2,1.0,1.0,1,2,1,1,$150.00,52.3680475267,4.887847365,Entire home/apt,f,150.0
7603,3178,1.0,2,1.0,1.0,1,2,14,1,$180.00,52.3678612447,4.8801960789,Entire home/apt,f,180.0
7604,3179,1.0,2,1.0,1.0,1,5,0,1,$195.00,52.3765194885,4.9027554521,Entire home/apt,f,195.0
7605,318,1.0,5,1.5,3.0,2,4,25,1,$140.00,52.3963521995,4.9962035561,Entire home/apt,f,140.0
7606,3180,1.0,2,1.0,1.0,1,3,5,1,$130.00,52.3719755863,4.8772926552,Entire home/apt,f,130.0
7607,3181,1.0,3,1.0,2.0,1,7,0,1,$160.00,52.3776136738,4.895960806600001,Entire home/apt,f,160.0
7608,3182,1.0,4,2.0,3.0,1,4,0,1,$200.00,52.381124400699996,4.8923026311,Private room,t,200.0
7609,3183,1.0,2,1.0,1.0,1,1,21,1,$100.00,52.375641916400006,4.881663727,Entire home/apt,f,100.0
7610,3184,1.0,2,1.0,1.0,1,2,11,1,$86.00,52.374831446499996,4.8905764143,Entire home/apt,f,86.0
7611,3185,1.0,2,1.0,1.0,1,2,4,1,$100.00,52.3699268236,4.8820048606,Private room,f,100.0
7612,3186,1.0,4,1.0,2.0,2,2,17,1,$180.00,52.3854124997,4.8878682512000005,Entire home/apt,f,180.0
7613,3187,1.0,2,1.0,0.0,1,2,0,1,$130.00,52.3704175481,4.8789318042000005,Entire home/apt,t,130.0
7614,3188,2.0,2,1.0,1.0,1,2,1,2,$120.00,52.37284569,4.8912297841,Private room,t,120.0
7615,3189,1.0,4,1.5,4.0,1,3,11,1,$420.00,52.382038298999994,4.883798802699999,Entire home/apt,f,420.0
7616,319,1.0,2,1.0,1.0,1,1,3,1,$30.00,52.393106993100005,4.9601692494,Private room,f,30.0
7617,3190,1.0,2,1.5,1.0,2,4,3,1,$140.00,52.3758082308,4.889657347,Entire home/apt,t,140.0
7618,3191,1.0,2,1.0,1.0,1,3,28,1,$110.00,52.3802237438,4.8824699019999995,Entire home/apt,f,110.0
7619,3192,1.0,4,1.0,1.0,2,5,27,1,$195.00,52.3730849449,4.8897512624,Entire home/apt,t,195.0
7620,3193,2.0,2,1.0,0.0,2,3,0,2,$160.00,52.387872323100005,4.887932570799999,Entire home/apt,f,160.0
7621,3194,1.0,2,1.0,1.0,1,2,5,1,$160.00,52.3813937106,4.8844533546,Entire home/apt,f,160.0
7622,3195,1.0,2,1.0,1.0,1,2,10,1,$110.00,52.3808236547,4.8857501208,Entire home/apt,f,110.0
7623,3196,1.0,4,1.0,1.0,2,4,19,1,$139.00,52.371753409200004,4.8857321832,Entire home/apt,f,139.0
7624,3197,1.0,2,1.0,1.0,1,2,2,1,$125.00,52.3804645628,4.8804421913,Entire home/apt,f,125.0
7625,3198,3.0,2,1.0,1.0,1,3,4,2,$120.00,52.3843079638,4.8912561208,Entire home/apt,f,120.0
7626,3199,1.0,2,1.0,0.0,1,2,29,1,$90.00,52.3754926054,4.8768184862,Entire home/apt,f,90.0
7627,32,2.0,4,2.0,4.0,8,4,9,1,$350.00,52.3640343282,4.8520748071,Entire home/apt,f,350.0
7628,320,1.0,4,1.0,3.0,1,2,2,1,$110.00,52.408739224499996,4.9351034889,Entire home/apt,f,110.0
7629,3200,1.0,2,1.0,1.0,1,6,0,1,$130.00,52.3728225893,4.8811867755,Entire home/apt,f,130.0
7630,3201,1.0,4,1.5,2.0,3,3,20,1,$187.00,52.3713503852,4.8779501616,Entire home/apt,t,187.0
7631,3202,1.0,2,1.0,1.0,1,1,3,1,$90.00,52.3817861832,4.8873959658,Private room,f,90.0
7632,3203,43.0,2,1.0,1.0,1,2,26,42,$125.00,52.3756164379,4.8828361178,Entire home/apt,f,125.0
7633,3204,2.0,2,1.0,1.0,1,2,0,2,$100.00,52.3821187738,4.8828952076,Private room,f,100.0
7634,3205,2.0,4,1.0,2.0,2,3,9,2,$179.00,52.3797441833,4.8846119977999995,Entire home/apt,f,179.0
7635,3206,1.0,2,1.0,1.0,1,2,24,1,$110.00,52.3819300421,4.8887812254,Private room,f,110.0
7636,3207,1.0,2,1.0,1.0,1,4,11,1,$175.00,52.372737401,4.8779699774,Entire home/apt,f,175.0
7637,3208,45.0,2,1.0,1.0,1,1,14,8,$156.00,52.376115495200004,4.894771966,Entire home/apt,f,156.0
7638,3209,10.0,4,1.0,2.0,2,3,26,9,$140.00,52.3657743288,4.8850288007,Entire home/apt,f,140.0
7639,321,2.0,4,1.0,3.0,4,5,2,2,$125.00,52.4075081672,4.9331806524,Entire home/apt,f,125.0
7640,3210,1.0,4,2.0,2.0,2,2,0,1,$225.00,52.384562367700006,4.8863924862,Entire home/apt,f,225.0
7641,3211,2.0,4,1.0,1.0,2,2,40,2,$210.00,52.3782137571,4.8844329848,Entire home/apt,t,210.0
7642,3212,3.0,4,1.5,2.0,1,2,31,3,$280.00,52.3701122604,4.8973647705,Entire home/apt,f,280.0
7643,3213,1.0,4,1.0,1.0,2,2,69,1,$219.00,52.367370378000004,4.8887156291,Entire home/apt,f,219.0
7644,3214,1.0,9,2.0,6.0,1,3,2,1,$450.00,52.3845788732,4.8855282656,Entire home/apt,t,450.0
7645,3215,1.0,2,1.0,1.0,1,5,1,1,$68.00,52.373635263800004,4.8767923493000005,Entire home/apt,f,68.0
7646,3216,3.0,2,1.0,0.0,1,3,1,1,$159.00,52.373454858500004,4.8914364387000004,Entire home/apt,f,159.0
7647,3217,1.0,2,1.0,1.0,1,1,0,1,$100.00,52.3736726649,4.8798692063999995,Private room,f,100.0
7648,3218,9.0,2,1.0,1.0,1,3,0,7,$159.00,52.3680764746,4.8852153251,Entire home/apt,f,159.0
7649,3219,2.0,2,1.0,0.0,1,2,56,2,$120.00,52.3671161341,4.8894631332,Entire home/apt,f,120.0
7650,322,4.0,4,1.0,1.0,1,2,19,2,$140.00,52.3936718443,4.9545166521,Entire home/apt,t,140.0
7651,3220,1.0,2,1.0,1.0,1,1,3,1,$100.00,52.3728377914,4.8951292993,Private room,f,100.0
7652,3221,1.0,4,1.0,2.0,2,7,74,1,$185.00,52.3744562902,4.8887535921000005,Entire home/apt,f,185.0
7653,3222,1.0,8,2.0,4.0,6,7,0,1,$600.00,52.374883123100005,4.8805159498,Entire home/apt,f,600.0
7654,3223,1.0,3,1.0,1.0,2,3,78,1,$150.00,52.386387588299996,4.8901925411,Entire home/apt,f,150.0
7655,3224,43.0,2,1.0,1.0,1,2,38,42,$130.00,52.3733062309,4.8818973314,Entire home/apt,f,130.0
7656,3225,18.0,4,1.0,1.0,2,3,2,14,$175.00,52.3792678882,4.8844399134,Private room,f,175.0
7657,3226,1.0,2,1.0,1.0,1,2,41,1,$100.00,52.3873815283,4.8904569458000005,Private room,f,100.0
7658,3227,1.0,3,1.0,0.0,2,2,190,1,$150.00,52.3694514519,4.8807511076,Entire home/apt,f,150.0
7659,3228,1.0,4,1.5,2.0,2,2,42,1,$249.00,52.3775103192,4.888011689,Entire home/apt,f,249.0
7660,3229,1.0,2,1.0,1.0,1,1,1,1,$95.00,52.3790125099,4.8948618583,Private room,t,95.0
7661,323,1.0,6,1.5,4.0,1,3,10,1,$140.00,52.399127298500005,4.9539996975000005,Entire home/apt,f,140.0
